Iter 1280, Minibatch LER = 1.000000, Minibatch loss = 3.281798
Iter 2560, Minibatch LER = 1.000000, Minibatch loss = 3.066526
Iter 3840, Minibatch LER = 1.000000, Minibatch loss = 2.986793
Iter 5120, Minibatch LER = 1.000000, Minibatch loss = 2.939616
Iter 6400, Minibatch LER = 1.000000, Minibatch loss = 2.894997
Iter 7680, Minibatch LER = 1.000000, Minibatch loss = 2.856537
Iter 8960, Minibatch LER = 1.000000, Minibatch loss = 2.821932
Iter 10240, Minibatch LER = 1.000000, Minibatch loss = 2.748570
Iter 11520, Minibatch LER = 1.000000, Minibatch loss = 2.656030
Iter 12800, Minibatch LER = 1.000000, Minibatch loss = 2.502387
Iter 14080, Minibatch LER = 0.765625, Minibatch loss = 2.343639
Iter 15360, Minibatch LER = 0.804688, Minibatch loss = 2.194892
Iter 16640, Minibatch LER = 0.734375, Minibatch loss = 2.026029
Iter 17920, Minibatch LER = 0.796875, Minibatch loss = 2.136713
Iter 19200, Minibatch LER = 0.718750, Minibatch loss = 1.954003
Iter 20480, Minibatch LER = 0.640625, Minibatch loss = 1.754424
Iter 21760, Minibatch LER = 0.539062, Minibatch loss = 1.720668
Iter 23040, Minibatch LER = 0.609375, Minibatch loss = 1.549488
Iter 24320, Minibatch LER = 0.585938, Minibatch loss = 1.599346
Iter 25600, Minibatch LER = 0.625000, Minibatch loss = 1.781645
Iter 26880, Minibatch LER = 0.484375, Minibatch loss = 1.342643
Iter 28160, Minibatch LER = 0.476562, Minibatch loss = 1.355970
Iter 29440, Minibatch LER = 0.453125, Minibatch loss = 1.278645
Iter 30720, Minibatch LER = 0.335938, Minibatch loss = 0.977036
Iter 32000, Minibatch LER = 0.312500, Minibatch loss = 0.961590
Iter 33280, Minibatch LER = 0.296875, Minibatch loss = 0.873746
Iter 34560, Minibatch LER = 0.242188, Minibatch loss = 0.888978
Iter 35840, Minibatch LER = 0.164062, Minibatch loss = 0.671363
Iter 37120, Minibatch LER = 0.234375, Minibatch loss = 0.637071
Iter 38400, Minibatch LER = 0.109375, Minibatch loss = 0.450590
Iter 39680, Minibatch LER = 0.156250, Minibatch loss = 0.542112
Iter 40960, Minibatch LER = 0.218750, Minibatch loss = 0.615907
Iter 42240, Minibatch LER = 0.171875, Minibatch loss = 0.508076
Iter 43520, Minibatch LER = 0.117188, Minibatch loss = 0.383743
Iter 44800, Minibatch LER = 0.109375, Minibatch loss = 0.416801
Iter 46080, Minibatch LER = 0.109375, Minibatch loss = 0.366520
Iter 47360, Minibatch LER = 0.085938, Minibatch loss = 0.294094
Iter 48640, Minibatch LER = 0.132812, Minibatch loss = 0.392603
Iter 49920, Minibatch LER = 0.195312, Minibatch loss = 0.581302
Iter 51200, Minibatch LER = 0.117188, Minibatch loss = 0.303801
Iter 52480, Minibatch LER = 0.078125, Minibatch loss = 0.239709
Iter 53760, Minibatch LER = 0.078125, Minibatch loss = 0.226008
Iter 55040, Minibatch LER = 0.117188, Minibatch loss = 0.394317
Iter 56320, Minibatch LER = 0.085938, Minibatch loss = 0.247956
Iter 57600, Minibatch LER = 0.078125, Minibatch loss = 0.252208
Iter 58880, Minibatch LER = 0.062500, Minibatch loss = 0.195526
Iter 60160, Minibatch LER = 0.062500, Minibatch loss = 0.169877
Iter 61440, Minibatch LER = 0.078125, Minibatch loss = 0.223306
Iter 62720, Minibatch LER = 0.085938, Minibatch loss = 0.213459
Iter 64000, Minibatch LER = 0.054688, Minibatch loss = 0.173461
Iter 65280, Minibatch LER = 0.039062, Minibatch loss = 0.170190
Iter 66560, Minibatch LER = 0.046875, Minibatch loss = 0.152137
Iter 67840, Minibatch LER = 0.031250, Minibatch loss = 0.128703
Iter 69120, Minibatch LER = 0.054688, Minibatch loss = 0.196662
Iter 70400, Minibatch LER = 0.093750, Minibatch loss = 0.249978
Iter 71680, Minibatch LER = 0.117188, Minibatch loss = 0.379894
Iter 72960, Minibatch LER = 0.039062, Minibatch loss = 0.170671
Iter 74240, Minibatch LER = 0.070312, Minibatch loss = 0.217121
Iter 75520, Minibatch LER = 0.031250, Minibatch loss = 0.115628
Iter 76800, Minibatch LER = 0.062500, Minibatch loss = 0.179819
Iter 78080, Minibatch LER = 0.031250, Minibatch loss = 0.115884
Iter 79360, Minibatch LER = 0.039062, Minibatch loss = 0.112154
Iter 80640, Minibatch LER = 0.046875, Minibatch loss = 0.133331
Iter 81920, Minibatch LER = 0.039062, Minibatch loss = 0.159666
Iter 83200, Minibatch LER = 0.015625, Minibatch loss = 0.091350
Iter 84480, Minibatch LER = 0.039062, Minibatch loss = 0.112703
Iter 85760, Minibatch LER = 0.054688, Minibatch loss = 0.135514
Iter 87040, Minibatch LER = 0.046875, Minibatch loss = 0.137553
Iter 88320, Minibatch LER = 0.062500, Minibatch loss = 0.220640
Iter 89600, Minibatch LER = 0.046875, Minibatch loss = 0.117940
Iter 90880, Minibatch LER = 0.039062, Minibatch loss = 0.134158
Iter 92160, Minibatch LER = 0.023438, Minibatch loss = 0.067392
Iter 93440, Minibatch LER = 0.046875, Minibatch loss = 0.142220
Iter 94720, Minibatch LER = 0.046875, Minibatch loss = 0.114664
Iter 96000, Minibatch LER = 0.007812, Minibatch loss = 0.032122
Iter 97280, Minibatch LER = 0.015625, Minibatch loss = 0.089706
Iter 98560, Minibatch LER = 0.031250, Minibatch loss = 0.145611
Iter 99840, Minibatch LER = 0.023438, Minibatch loss = 0.101103
Optimization Finished!
Testing Label Error Rate: 0.0078125
